knr,kname,year,user_payment_hbc
0101,Halden,2003,2612
0101,Halden,2004,2606
0101,Halden,2005,3045
0101,Halden,2006,2828
0101,Halden,2007,2716
0101,Halden,2008,2742
0101,Halden,2009,2667
0101,Halden,2010,2734
0101,Halden,2011,2850
0101,Halden,2012,3123
0101,Halden,2013,3561
0101,Halden,2014,3152
0101,Halden,2015,2759
0101,Halden,2016,3116
0104,Moss,2003,2561
0104,Moss,2004,2551
0104,Moss,2005,2547
0104,Moss,2006,2471
0104,Moss,2007,2483
0104,Moss,2008,3286
0104,Moss,2009,3413
0104,Moss,2010,3553
0104,Moss,2011,3606
0104,Moss,2012,4722
0104,Moss,2013,4976
0104,Moss,2014,5671
0104,Moss,2015,6075
0104,Moss,2016,6443
0105,Sarpsborg,2003,2261
0105,Sarpsborg,2004,2458
0105,Sarpsborg,2005,2280
0105,Sarpsborg,2006,2183
0105,Sarpsborg,2007,2240
0105,Sarpsborg,2008,3581
0105,Sarpsborg,2009,3814
0105,Sarpsborg,2010,3223
0105,Sarpsborg,2011,2294
0105,Sarpsborg,2012,2906
0105,Sarpsborg,2013,2974
0105,Sarpsborg,2014,3730
0105,Sarpsborg,2015,3885
0105,Sarpsborg,2016,4017
0106,Fredrikstad,2003,2991
0106,Fredrikstad,2004,3341
0106,Fredrikstad,2005,3896
0106,Fredrikstad,2006,3532
0106,Fredrikstad,2007,2864
0106,Fredrikstad,2008,2936
0106,Fredrikstad,2009,3088
0106,Fredrikstad,2010,3225
0106,Fredrikstad,2011,3131
0106,Fredrikstad,2012,3852
0106,Fredrikstad,2013,5930
0106,Fredrikstad,2014,4967
0106,Fredrikstad,2015,4922
0106,Fredrikstad,2016,5278
0111,Hvaler,2003,119
0111,Hvaler,2004,508
0111,Hvaler,2005,132
0111,Hvaler,2006,659
0111,Hvaler,2007,571
0111,Hvaler,2008,212
0111,Hvaler,2009,132
0111,Hvaler,2010,389
0111,Hvaler,2011,209
0111,Hvaler,2012,109
0111,Hvaler,2013,111
0111,Hvaler,2014,135
0111,Hvaler,2015,117
0111,Hvaler,2016,201
0118,Aremark,2003,176
0118,Aremark,2004,177
0118,Aremark,2005,167
0118,Aremark,2006,169
0118,Aremark,2007,183
0118,Aremark,2008,185
0118,Aremark,2009,264
0118,Aremark,2010,224
0118,Aremark,2011,272
0118,Aremark,2012,282
0118,Aremark,2013,258
0118,Aremark,2014,216
0118,Aremark,2015,130
0118,Aremark,2016,132
0119,Marker,2003,401
0119,Marker,2004,411
0119,Marker,2005,360
0119,Marker,2006,325
0119,Marker,2007,345
0119,Marker,2008,451
0119,Marker,2009,483
0119,Marker,2010,458
0119,Marker,2011,424
0119,Marker,2012,476
0119,Marker,2013,539
0119,Marker,2014,653
0119,Marker,2015,546
0119,Marker,2016,563
0121,Rømskog,2003,70
0121,Rømskog,2004,71
0121,Rømskog,2005,60
0121,Rømskog,2006,90
0121,Rømskog,2007,73
0121,Rømskog,2008,76
0121,Rømskog,2009,76
0121,Rømskog,2010,79
0121,Rømskog,2011,67
0121,Rømskog,2012,81
0121,Rømskog,2013,99
0121,Rømskog,2014,190
0121,Rømskog,2015,184
0121,Rømskog,2016,139
0122,Trøgstad,2003,284
0122,Trøgstad,2004,356
0122,Trøgstad,2005,422
0122,Trøgstad,2006,422
0122,Trøgstad,2007,458
0122,Trøgstad,2008,468
0122,Trøgstad,2009,413
0122,Trøgstad,2010,460
0122,Trøgstad,2011,515
0122,Trøgstad,2012,456
0122,Trøgstad,2013,108
0122,Trøgstad,2014,709
0122,Trøgstad,2015,711
0122,Trøgstad,2016,698
0123,Spydeberg,2003,375
0123,Spydeberg,2004,343
0123,Spydeberg,2005,379
0123,Spydeberg,2006,381
0123,Spydeberg,2007,399
0123,Spydeberg,2008,334
0123,Spydeberg,2009,370
0123,Spydeberg,2010,427
0123,Spydeberg,2011,439
0123,Spydeberg,2012,394
0123,Spydeberg,2013,292
0123,Spydeberg,2014,292
0123,Spydeberg,2015,322
0123,Spydeberg,2016,444
0124,Askim,2003,1060
0124,Askim,2004,1004
0124,Askim,2005,1060
0124,Askim,2006,1139
0124,Askim,2007,1035
0124,Askim,2008,1074
0124,Askim,2009,1121
0124,Askim,2010,1118
0124,Askim,2011,1326
0124,Askim,2012,1636
0124,Askim,2013,1451
0124,Askim,2014,1738
0124,Askim,2015,2256
0124,Askim,2016,2091
0125,Eidsberg,2003,2508
0125,Eidsberg,2004,2580
0125,Eidsberg,2005,2617
0125,Eidsberg,2006,2013
0125,Eidsberg,2007,662
0125,Eidsberg,2008,597
