knr,kname,year,user_payment_nh
0101,Halden,2003,11193
0101,Halden,2004,12813
0101,Halden,2005,12586
0101,Halden,2006,12459
0101,Halden,2007,13060
0101,Halden,2008,15471
0101,Halden,2009,19133
0101,Halden,2010,20019
0101,Halden,2011,21223
0101,Halden,2012,22620
0101,Halden,2013,23537
0101,Halden,2014,23182
0101,Halden,2015,23503
0101,Halden,2016,24814
0104,Moss,2003,18268
0104,Moss,2004,19423
0104,Moss,2005,20412
0104,Moss,2006,21415
0104,Moss,2007,22901
0104,Moss,2008,21905
0104,Moss,2009,22857
0104,Moss,2010,22702
0104,Moss,2011,23746
0104,Moss,2012,23934
0104,Moss,2013,22766
0104,Moss,2014,24007
0104,Moss,2015,24296
0104,Moss,2016,25412
0105,Sarpsborg,2003,28185
0105,Sarpsborg,2004,30520
0105,Sarpsborg,2005,30887
0105,Sarpsborg,2006,33822
0105,Sarpsborg,2007,38444
0105,Sarpsborg,2008,42735
0105,Sarpsborg,2009,42285
0105,Sarpsborg,2010,53652
0105,Sarpsborg,2011,50786
0105,Sarpsborg,2012,53689
0105,Sarpsborg,2013,55665
0105,Sarpsborg,2014,58713
0105,Sarpsborg,2015,57818
0105,Sarpsborg,2016,63096
0106,Fredrikstad,2003,44537
0106,Fredrikstad,2004,46745
0106,Fredrikstad,2005,46338
0106,Fredrikstad,2006,48161
0106,Fredrikstad,2007,51873
0106,Fredrikstad,2008,55823
0106,Fredrikstad,2009,58201
0106,Fredrikstad,2010,65896
0106,Fredrikstad,2011,69224
0106,Fredrikstad,2012,72158
0106,Fredrikstad,2013,74498
0106,Fredrikstad,2014,77285
0106,Fredrikstad,2015,81729
0106,Fredrikstad,2016,84450
0111,Hvaler,2003,2733
0111,Hvaler,2004,2831
0111,Hvaler,2005,2610
0111,Hvaler,2006,1521
0111,Hvaler,2007,420
0111,Hvaler,2008,477
0111,Hvaler,2009,958
0111,Hvaler,2010,470
0111,Hvaler,2011,3101
0111,Hvaler,2012,330
0111,Hvaler,2013,356
0111,Hvaler,2014,259
0111,Hvaler,2015,474
0111,Hvaler,2016,4142
0118,Aremark,2003,1326
0118,Aremark,2004,1245
0118,Aremark,2005,1654
0118,Aremark,2006,1497
0118,Aremark,2007,1664
0118,Aremark,2008,1845
0118,Aremark,2009,2069
0118,Aremark,2010,2420
0118,Aremark,2011,2119
0118,Aremark,2012,2327
0118,Aremark,2013,2626
0118,Aremark,2014,2466
0118,Aremark,2015,2842
0118,Aremark,2016,2388
0119,Marker,2003,2835
0119,Marker,2004,2967
0119,Marker,2005,2930
0119,Marker,2006,3431
0119,Marker,2007,3620
0119,Marker,2008,3871
0119,Marker,2009,4131
0119,Marker,2010,4473
0119,Marker,2011,3599
0119,Marker,2012,4387
0119,Marker,2013,4921
0119,Marker,2014,4992
0119,Marker,2015,5220
0119,Marker,2016,4804
0121,Rømskog,2003,1170
0121,Rømskog,2004,1330
0121,Rømskog,2005,1372
0121,Rømskog,2006,1395
0121,Rømskog,2007,1511
0121,Rømskog,2008,1287
0121,Rømskog,2009,1653
0121,Rømskog,2010,1768
0121,Rømskog,2011,1908
0121,Rømskog,2012,1859
0121,Rømskog,2013,1927
0121,Rømskog,2014,1934
0121,Rømskog,2015,1583
0121,Rømskog,2016,1368
0122,Trøgstad,2003,3235
0122,Trøgstad,2004,3248
0122,Trøgstad,2005,3064
0122,Trøgstad,2006,3316
0122,Trøgstad,2007,4347
0122,Trøgstad,2008,5016
0122,Trøgstad,2009,5307
0122,Trøgstad,2010,5318
0122,Trøgstad,2011,5459
0122,Trøgstad,2012,5460
0122,Trøgstad,2013,7562
0122,Trøgstad,2014,7427
0122,Trøgstad,2015,7878
0122,Trøgstad,2016,8327
0123,Spydeberg,2003,1455
0123,Spydeberg,2004,1856
0123,Spydeberg,2005,2073
0123,Spydeberg,2006,2573
0123,Spydeberg,2007,2559
0123,Spydeberg,2008,3598
0123,Spydeberg,2009,4083
0123,Spydeberg,2010,4156
0123,Spydeberg,2011,4472
0123,Spydeberg,2012,4975
0123,Spydeberg,2013,5079
0123,Spydeberg,2014,5393
0123,Spydeberg,2015,5088
0123,Spydeberg,2016,6026
0124,Askim,2003,7993
0124,Askim,2004,8571
0124,Askim,2005,8671
0124,Askim,2006,9036
0124,Askim,2007,9355
0124,Askim,2008,10133
0124,Askim,2009,11348
0124,Askim,2010,12086
0124,Askim,2011,12237
0124,Askim,2012,13622
0124,Askim,2013,14005
0124,Askim,2014,13793
0124,Askim,2015,14987
0124,Askim,2016,15847
0125,Eidsberg,2003,6415
0125,Eidsberg,2004,5731
0125,Eidsberg,2005,5967
0125,Eidsberg,2006,5463
0125,Eidsberg,2007,6142
0125,Eidsberg,2008,7283
0125,Eidsberg,2009,8816
0125,Eidsberg,2010,8990
0125,Eidsberg,2011,9814
0125,Eidsberg,2012,12919
0125,Eidsberg,2013,12943
0125,Eidsberg,2014,11636
0125,Eidsberg,2015,11943
0125,Eidsberg,2016,11087
0127,Skiptvet,2003,2036
0127,Skiptvet,2004,2012
0127,Skiptvet,2005,2169
0127,Skiptvet,2006,2421
0127,Skiptvet,2007,2368
0127,Skiptvet,2008,2840
0127,Skiptvet,2009,4669
0127,Skiptvet,2010,4503
0127,Skiptvet,2011,4996
0127,Skiptvet,2012,5116
0127,Skiptvet,2013,4742
0127,Skiptvet,2014,5005
0127,Skiptvet,2015,5161
0127,Skiptvet,2016,4969
0128,Rakkestad,2003,2377
0128,Rakkestad,2004,2686
0128,Rakkestad,2005,3171
0128,Rakkestad,2006,3588
0128,Rakkestad,2007,3779
0128,Rakkestad,2008,4936
0128,Rakkestad,2009,5490
0128,Rakkestad,2010,6371
