knr,kname,year,nh.beds.located.in.muni
0101,Halden,2015,210
0101,Halden,2016,203
0101,Halden,2017,205
0101,Halden,2018,213
0104,Moss,2015,185
0104,Moss,2016,183
0104,Moss,2017,192
0104,Moss,2018,192
0105,Sarpsborg,2015,425.1
0105,Sarpsborg,2016,437
0105,Sarpsborg,2017,448
0105,Sarpsborg,2018,461
0106,Fredrikstad,2015,597
0106,Fredrikstad,2016,608
0106,Fredrikstad,2017,608
0106,Fredrikstad,2018,611
0111,Hvaler,2015,38
0111,Hvaler,2016,37
0111,Hvaler,2017,38
0111,Hvaler,2018,42
0118,Aremark,2015,21
0118,Aremark,2016,23
0118,Aremark,2017,23
0118,Aremark,2018,18
0119,Marker,2015,38.5
0119,Marker,2016,38
0119,Marker,2017,42
0119,Marker,2018,39
0121,Rømskog,2015,17
0121,Rømskog,2016,17
0121,Rømskog,2017,13.5
0121,Rømskog,2018,14.9
0122,Trøgstad,2015,54
0122,Trøgstad,2016,54.2
0122,Trøgstad,2017,48
0122,Trøgstad,2018,49
0123,Spydeberg,2015,39.6
0123,Spydeberg,2016,40.8
0123,Spydeberg,2017,35.7
0123,Spydeberg,2018,47.3
0124,Askim,2015,114.6
0124,Askim,2016,113.4
0124,Askim,2017,111.3
0124,Askim,2018,109.7
0125,Eidsberg,2015,91.7
0125,Eidsberg,2016,92.9
0125,Eidsberg,2017,96.2
0125,Eidsberg,2018,97.5
0127,Skiptvet,2015,39.5
0127,Skiptvet,2016,38.4
0127,Skiptvet,2017,37.4
0127,Skiptvet,2018,34.3
0128,Rakkestad,2015,69
0128,Rakkestad,2016,67.3
0128,Rakkestad,2017,68.4
0128,Rakkestad,2018,67.3
0135,Råde,2015,56
0135,Råde,2016,57
0135,Råde,2017,57
0135,Råde,2018,56
0136,Rygge,2015,93
0136,Rygge,2016,92
0136,Rygge,2017,91.2
0136,Rygge,2018,92
0137,Våler,2015,25
0137,Våler,2016,25
0137,Våler,2017,25
0137,Våler,2018,21
0138,Hobøl,2015,29
0138,Hobøl,2016,29
0138,Hobøl,2017,29
0138,Hobøl,2018,29
0211,Vestby,2015,104
0211,Vestby,2016,97
0211,Vestby,2017,103
0211,Vestby,2018,108
0213,Ski,2015,213
0213,Ski,2016,212
0213,Ski,2017,213
0213,Ski,2018,218
0214,Ås,2015,138
0214,Ås,2016,151
0214,Ås,2017,191
0214,Ås,2018,163
0215,Frogn,2015,109
0215,Frogn,2016,103
0215,Frogn,2017,143
0215,Frogn,2018,150
0216,Nesodden,2015,129
0216,Nesodden,2016,129
0216,Nesodden,2017,127
0216,Nesodden,2018,130
0217,Oppegård,2015,230
0217,Oppegård,2016,223
0217,Oppegård,2017,224
0217,Oppegård,2018,229
0219,Bærum,2015,1006
0219,Bærum,2016,1024
0219,Bærum,2017,998
0219,Bærum,2018,987
0220,Asker,2015,417
0220,Asker,2016,402
0220,Asker,2017,467
0220,Asker,2018,468
0221,Aurskog-Høland,2015,150
0221,Aurskog-Høland,2016,148
0221,Aurskog-Høland,2017,148
0221,Aurskog-Høland,2018,150
0226,Sørum,2015,137
0226,Sørum,2016,138
0226,Sørum,2017,145
0226,Sørum,2018,118
0227,Fet,2015,55
0227,Fet,2016,56
0227,Fet,2017,54
0227,Fet,2018,67
0228,Rælingen,2015,85
0228,Rælingen,2016,85
0228,Rælingen,2017,103
0228,Rælingen,2018,90
0229,Enebakk,2015,70
0229,Enebakk,2016,73
0229,Enebakk,2017,69.3
0229,Enebakk,2018,67
0230,Lørenskog,2015,227
0230,Lørenskog,2016,227
